Mic,MicName,ExchangeCode,ExchangeName
XCAY,CAYMAN ISLANDS STOCK EXCHANGE,CSX,Cayman Islands Stock Exchange
XULA,MONGOLIAN STOCK EXCHANGE,MGS,Mongolian Stock Exchange
TRQX,TURQUOISE,TRQ,Turquoise
EQTB,BOERSE BERLIN EQUIDUCT TRADING - BERLIN SECOND REGULATED MARKET,EQD,Equiduct
BATE,CBOE EUROPE -BXE ORDER BOOKS,BTE,BATS TRADING EUROPE
BATS,CBOE BZX U.S. EQUITIES EXCHANGE,GCZ,Cboe BZX Exchange - Nasdaq Global Select Market
XBNV,"BOLSA NACIONAL DE VALORES, S.A.",CRI,Costa Rica Stock Exchange
BATS,CBOE BZX U.S. EQUITIES EXCHANGE,LCZ,Cboe BZX Exchange - Nasdaq Global Market
BATS,CBOE BZX U.S. EQUITIES EXCHANGE,SCZ,Cboe BZX Exchange - Nasdaq Capital Market
XSHG,SHANGHAI STOCK EXCHANGE,CSI,CHINA SECURITIES INDEX COMPANY
XHNX,HANOI STOCK EXCHANGE (UNLISTED PUBLIC COMPANY TRADING PLATFORM),UPC,UNLISTED PUBLIC COMPANY MARKET (UPCOM)
MCXX,METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,MCD,Metropolitan Stock Exchange of India Ltd
XXXX,"NO MARKET (EG, UNLISTED)",RFI,Refinitiv Contributed Fixed Income Indices
XXXX,"NO MARKET (EG, UNLISTED)",XCA,Japan Consolidated
XGAT,TRADEGATE EXCHANGE - FREIVERKEHR,TDG,Tradegate AG
CHIA,CBOE AUSTRALIA,CHA,Cboe Australia
EDGX,CBOE EDGX U.S. EQUITIES EXCHANGE,GCD,Cboe EDGX Exchange - Nasdaq Global Select Market
EDGX,CBOE EDGX U.S. EQUITIES EXCHANGE,LCD,Cboe EDGX Exchange - Nasdaq Global Market
EDGX,CBOE EDGX U.S. EQUITIES EXCHANGE,SCD,Cboe EDGX Exchange - Nasdaq Capital Market
EDGA,CBOE EDGA U.S. EQUITIES EXCHANGE,GDA,Cboe EDGA Exchange - Nasdaq Global Select Market
EDGA,CBOE EDGA U.S. EQUITIES EXCHANGE,LDA,Cboe EDGA Exchange - Nasdaq Global Market
EDGA,CBOE EDGA U.S. EQUITIES EXCHANGE,SDA,Cboe EDGA Exchange - Nasdaq Capital Market
ROFX,ROSARIO FUTURE EXCHANGE,RFX,ROSARIO FUTURES EXCHANGE
BATY,CBOE BYX U.S. EQUITIES EXCHANGE,LCY,Cboe BYX Exchange - Nasdaq Global Market
BATY,CBOE BYX U.S. EQUITIES EXCHANGE,SCY,Cboe BYX Exchange - Nasdaq Capital Market
BATY,CBOE BYX U.S. EQUITIES EXCHANGE,GCY,Cboe BYX Exchange - Nasdaq Global Select Market
XNZE,NEW ZEALAND EXCHANGE LTD,NZE,NEW ZEALAND STOCK EXCHANGE
XXXX,"NO MARKET (EG, UNLISTED)",BTQ,Cboe Consolidated
LMAD,LMAX - DERIVATIVES,LMX,London Multi Asset Exchange
XMNX,MONTENEGRO STOCK EXCHANGE,MOT,MONTENEGRO STOCK EXCHANGE
XLAO,LAO SECURITIES EXCHANGE,LSX,Lao Securities Exchange
XXXX,"NO MARKET (EG, UNLISTED)",OKB,Oesterreichische Kontrollbank AG (OeKB)
XDSE,DAMASCUS SECURITIES EXCHANGE,DSX,DAMASCUS SECURITIES EXCHANGE
HMOD,HI-MTF ORDER DRIVEN,HMT,HI-MTF
SGMX,SIGMA X MTF,SIG,SigmaX MTF Dark pool
XJAM,JAMAICA STOCK EXCHANGE,JAM,Jamaica Stock Exchange
TMXS,TMX SELECT,TMX,TMX Select
XXXX,"NO MARKET (EG, UNLISTED)",AOI,NYSE AMEX IMBALANCE
ROTC,RWANDA OTC MARKET,RSE,Rwanda Stock Exchange
XBAR,BOLSA DE BARCELONA,SOE,Spanish Consolidated Equities
XSWX,SIX SWISS EXCHANGE,SNF,SWX Non Listed Investment Funds
XXXX,"NO MARKET (EG, UNLISTED)",UNL,Unlisted
XCX2,CX2,CXX,Nasdaq CX2
XXXX,"NO MARKET (EG, UNLISTED)",INC,Indian Consolidated
BOTC,OFF EXCHANGE IDENTIFIER FOR OTC TRADES REPORTED TO CBOE EUROPE,BCO,BATS CHI-X Trade Reporting
XKON,KOREA NEW EXCHANGE,KNX,Korea New Exchange-KONEX
AQXE,AQUIS EXCHANGE,AQX,AQUIS MTF
RUSX,NON-PROFIT PARTNERSHIP FOR THE DEVELOPMENT OF FINANCIAL MARKET RTS,RTB,NP RTS
SEPE,STOCK EXCHANGE PERSPECTIVA,SEP,PERSPEKTIVA STOCK EXCHANGE
LYNX,LYNX ATS,LNX,Tradelogiq Lynx ATS
XSAT,SPOTLIGHT STOCK MARKET,AKT,SPOTLIGHT STOCK MARKET
XDUS,BOERSE DUESSELDORF,QTX,Quotrix
XTRN,TRINIDAD AND TOBAGO STOCK EXCHANGE,TTS,The Trinidad and Tobago Stock Exchange Limited
XARM,ARMENIA SECURITIES EXCHANGE,ARM,Nasdaq OMX Armenia OJSC
NEOE,NEO EXCHANGE - NEO-L (MARKET BY ORDER),NLB,Aequitas NEO-L
IEXG,IEX MARKET,IEG,IEX GROUP INC -NASDAQ OMX GLOBAL MARKET
IEXG,IEX MARKET,IES,IEX GROUP INC -NASDAQ OMX GLOBAL SELECT
IEXG,IEX MARKET,SIE,IEX GROUP INC -NASDAQ OMX CAPITAL MARKET (SMALL CA)
IEXG,IEX MARKET,IEX,IEX GROUP INC - SIAC/CTA
XBOL,BOLSA BOLIVIANA DE VALORES S.A.,BBV,Bolivian Stock Exchange
XPTY,"BOLSA DE VALORES DE PANAMA, S.A.",PAN,Panama Stock Exchange
A2XX,A2X,A2X,A2X Markets
ZARX,ZAR X,ZAX,ZAR X (Pty) Ltd
BIVA,BOLSA INSTITUCIONAL DE VALORES,BIV,Bolsa Institucional de Valores
TNLK,EURONEXT BLOCKS,EBT,EURONEXT BLOCK (MTF)
XKAR,THE PAKISTAN STOCK EXCHANGE LIMITED,PSX,Pakistan Stock Exchange
NEOD,NEO EXCHANGE - NEO-D (DARK),NED,AEQUITAS NEO-D
XXXX,"NO MARKET (EG, UNLISTED)",MXQ,CONSOLIDATED MEXICAN EXCHANGES
NEXG,NEX EXCHANGE GROWTH (EQUITY),NXX,NEX Exchange
XMLI,EURONEXT ACCESS PARIS,EMA,EURONEXT ACCESS PARIS
MSAX,MORGAN STANLEY MTF - PERIODIC AUCTION,MAA,Morgan Stanley MTF
ENXL,EURONEXT ACCESS LISBON,EML,Euronext Access Lisbon
MLXB,EURONEXT ACCESS BRUSSELS,EMB,Euronext Access Brussels
4AXE,4 AFRICA EXCHANGE (PTY) LTD,4AX,Cape Town Stock Exchange
TQEX,TURQUOISE EUROPE,TQE,Turquoise (EU)
AQEU,AQUIS SA,AQE,Aquis (EU)
CEUX,CBOE EUROPE - CXE ORDER BOOKS (NL),DXE,Cboe Europe DXE (EU)
LTSE,"LONG-TERM STOCK EXCHANGE, INC.",LTE,Long Term Stock Exchange
LTSE,"LONG-TERM STOCK EXCHANGE, INC.",LTG,LTSE for NASDAQ Global Markets (LTG)
LTSE,"LONG-TERM STOCK EXCHANGE, INC.",LTS,LTSE for NASDAQ Global Select (LTS)
LTSE,"LONG-TERM STOCK EXCHANGE, INC.",LTM,LTSE for NASDAQ Capital Markets (LTM)
XXXX,"NO MARKET (EG, UNLISTED)",NQT,NYSE BQT Best Quotes and Trades
EPRL,MIAX PEARL EQUITIES,MPG,MIAX Pearl for NASDAQ Global Markets (MPG)
EPRL,MIAX PEARL EQUITIES,MPS,MIAX Pearl NASDAQ Global Select (MPS)
EPRL,MIAX PEARL EQUITIES,MPM,MIAX Pearl for NASDAQ Capital Markets (MPM)
EPRL,MIAX PEARL EQUITIES,MPE,MIAX Pearl for NYSE/Cboe BZX (MPE)
MEMX,MEMX LLC,XMG,MEMX for NASDAQ Global Markets (XMG)
MEMX,MEMX LLC,XMS,MEMX for NASDAQ Global Select (XMS)
MEMX,MEMX LLC,XMC,MEMX for NASDAQ Capital Markets (XMC)
MEMX,MEMX LLC,MMX,MEMX for NYSE/Cboe BZX (MMX)
XBAB,BARBADOS STOCK EXCHANGE,BRB,Barbados Stock Exchange
XCBO,CBOE GLOBAL MARKETS INC.,CBO,Chicago Board Options Exchange
SGMU,SIGMA X EUROPE NON-DISPLAYED BOOK,SIU,SIGMA X EU MTF
IPSX,IPSX,IPX,The Property Stock Exchange
SPBE,SAINT PETERSBURG EXCHANGE - ALL MARKETS,SBX,SPB Exchange
XIST,BORSA ISTANBUL,TBF,TAKASBANK FUNDS
BJSE,BEIJING STOCK EXCHANGE,BJS,Beijing Stock Exchange
VFEX,VICTORIA FALLS STOCK EXCHANGE,VFX,Victoria Falls Stock Exchange Limited
